speaker,label,vowel,NC,voicing,nas_prop
S03,b__U_nt_@___N_B17/s,u,nt,voiceless,0.3668820209344802
S03,b__a_nd_@___N_B19/s,a,nd,voiced,0.19548583062909516
S03,b__a_nt_@___N_B15/s,a,nt,voiceless,0.27864845507887825
S03,f__I_nt_@___N_B05/s,i,nt,voiceless,0.764225941422593
S03,l__I_nd_@___N_B06/s,i,nd,voiced,0.005294905311453799
S03,p__E_nt_____N_B09/s,e,nt,voiceless,0.3347331282575556
S03,r__a_nt_@___N_B06/s,a,nt,voiceless,0.24317596038132064
S03,v__I_nd_@___N_B07/s,i,nd,voiced,0.02475716490709159
S03,v__I_nt_6___N_B15/s,i,nt,voiceless,0.13500809443656253
S03,z__E_nd_@___N_B17/s,e,nd,voiced,0.5378521502736267
S03,z__E_nt_a___N_B05/s,e,nt,voiceless,0.5259299992876842
S03,z__O_nd_@___N_B15/s,o,nd,voiced,0.11470785219413909
S03,z__O_nt_@___N_B09/s,o,nt,voiceless,0.7594986077181398
S04,b__U_nd_@___N_B09/s,u,nd,voiced,0.46953467082640904
S04,b__U_nt_@___N_B10/s,u,nt,voiceless,0.5517449386756659
S04,b__a_nd_@___N_B12/s,a,nd,voiced,0.6741009498470659
S04,b__a_nt_@___N_B11/s,a,nt,voiceless,0.4837425331050438
S04,f__I_nd_@___N_B21/s,i,nd,voiced,0.6716800430135036
S04,l__I_nd_@___N_B19/s,i,nd,voiced,0.5728288028839548
S04,p__E_nt_____N_B09/s,e,nt,voiceless,0.5894511199032011
S04,p__a_nd_a___N_B10/s,a,nd,voiced,0.4504826816022718
S04,p__a_nt_6___N_B21/s,a,nt,voiceless,0.5798512704260109
S04,r__E_nd_6___N_B10/s,e,nd,voiced,0.8836364084064037
S04,r__E_nt_@___N_B23/s,e,nt,voiceless,0.5414818213332833
S04,r__I_nt_____N_B09/s,i,nt,voiceless,0.45245175391904374
S04,r__a_nt_@___N_B21/s,a,nt,voiceless,0.4144097439677042
S04,v__I_nd_@___N_B22/s,i,nd,voiced,0.746642060270261
S04,v__a_nt_@___N_B24/s,a,nt,voiceless,0.7433892312887008
S04,z__E_nd_@___N_B19/s,e,nd,voiced,0.5012678966227013
S04,z__E_nt_a___N_B22/s,e,nt,voiceless,0.35486200832782827
S04,z__O_nd_@___N_B08/s,o,nd,voiced,0.5103247467536831
S04,z__O_nt_@___N_B24/s,o,nt,voiceless,0.9365496094941212
S04,z__a_nd_@___N_B21/s,a,nd,voiced,0.6211494503772896
S04,z__a_nt_@___N_B19/s,a,nt,voiceless,0.5494196926258783
S05,?__E_nd_@___N_B08/s,e,nd,voiced,0.37138382356801186
S05,?__E_nt_@___N_B07/s,e,nt,voiceless,0.16101613330057593
S05,b__U_nd_@___N_B09/s,u,nd,voiced,0.5335842781196802
S05,b__U_nt_@___N_B10/s,u,nt,voiceless,0.4419359209336454
